# t alphaD area se kMix epsMix kC kD epsC epsD ReLambdaC ReLambdaD uAvgCx uAvgCy uAvgCz uAvgDx uAvgDy uAvgDz
1.1020099999999999e+01 6.5735459999999996e-02 2.4403330000000000e+02 3.3634390000000000e-02 9.4089440000000002e-01 4.0351730000000002e-01 1.0000540000000000e+00 1.0009100000000000e+00 3.9612300000000000e-01 5.0860819999999995e-01 9.3374350000000007e+01 8.2475090000000009e+00 2.4740410000000001e-02 9.9146770000000002e-03 -2.4260310000000000e-02 3.5589969999999999e-02 -4.9175030000000002e-03 -1.2619659999999999e-01
1.1030099999999999e+01 6.5735130000000003e-02 2.4402310000000000e+02 3.3632990000000001e-02 9.4089210000000001e-01 4.0356439999999999e-01 1.0000510000000000e+00 1.0008969999999999e+00 3.9618540000000002e-01 5.0843959999999999e-01 9.3366749999999996e+01 8.2487689999999994e+00 2.4758820000000001e-02 9.9068179999999995e-03 -2.4265950000000001e-02 3.5181129999999998e-02 -4.7960540000000001e-03 -1.2523760000000000e-01
1.1040100000000001e+01 6.5734799999999996e-02 2.4402640000000000e+02 3.3633450000000002e-02 9.4089880000000004e-01 4.0362060000000000e-01 1.0000599999999999e+00 1.0006290000000000e+00 3.9625310000000002e-01 5.0833240000000002e-01 9.3359600000000000e+01 8.2474249999999998e+00 2.4796140000000001e-02 9.8917320000000003e-03 -2.4286200000000001e-02 3.4480169999999997e-02 -4.5303720000000004e-03 -1.2403590000000000e-01
1.1050100000000000e+01 6.5734459999999995e-02 2.4401380000000000e+02 3.3631710000000002e-02 9.4090770000000001e-01 4.0367080000000000e-01 1.0000720000000001e+00 1.0001519999999999e+00 3.9632550000000000e-01 5.0806770000000001e-01 9.3352239999999995e+01 8.2456399999999999e+00 2.4835610000000001e-02 9.8766800000000005e-03 -2.4295600000000001e-02 3.3704650000000003e-02 -4.2366360000000002e-03 -1.2292680000000000e-01
1.1060100000000000e+01 6.5734130000000002e-02 2.4401060000000001e+02 3.3631260000000003e-02 9.4090920000000000e-01 4.0372419999999998e-01 1.0000770000000001e+00 9.9966990000000000e-01 3.9639869999999999e-01 5.0784110000000005e-01 9.3344059999999999e+01 8.2435060000000000e+00 2.4868660000000001e-02 9.8652529999999992e-03 -2.4309890000000001e-02 3.2995459999999997e-02 -3.9610230000000001e-03 -1.2170910000000000e-01
1.1070100000000000e+01 6.5733790000000000e-02 2.4402019999999999e+02 3.3632589999999997e-02 9.4091230000000003e-01 4.0378059999999999e-01 1.0000849999999999e+00 9.9904510000000002e-01 3.9647349999999998e-01 5.0763590000000003e-01 9.3335930000000005e+01 8.2400190000000002e+00 2.4908099999999999e-02 9.8585719999999995e-03 -2.4322600000000000e-02 3.2153950000000001e-02 -3.7355850000000000e-03 -1.2049130000000000e-01
1.1080100000000000e+01 6.5733459999999994e-02 2.4407849999999999e+02 3.3640629999999998e-02 9.4092249999999999e-01 4.0382750000000001e-01 1.0001020000000000e+00 9.9811159999999999e-01 3.9654360000000000e-01 5.0735249999999998e-01 9.3329279999999997e+01 8.2346179999999993e+00 2.4942800000000001e-02 9.8521809999999998e-03 -2.4345929999999998e-02 3.1333540000000000e-02 -3.4819800000000000e-03 -1.1907420000000001e-01
1.1090100000000000e+01 6.5733120000000006e-02 2.4411900000000000e+02 3.3646200000000001e-02 9.4092109999999995e-01 4.0389229999999998e-01 1.0001059999999999e+00 9.9728099999999997e-01 3.9661120000000000e-01 5.0737869999999996e-01 9.3321709999999996e+01 8.2275530000000003e+00 2.4976249999999998e-02 9.8481850000000006e-03 -2.4359289999999999e-02 3.0511710000000001e-02 -3.2623050000000001e-03 -1.1779610000000000e-01
1.1100099999999999e+01 6.5732780000000005e-02 2.4417500000000001e+02 3.3653919999999997e-02 9.4091270000000005e-01 4.0394350000000001e-01 1.0001020000000000e+00 9.9648720000000002e-01 3.9668480000000000e-01 5.0711260000000002e-01 9.3312700000000007e+01 8.2231600000000000e+00 2.4999560000000001e-02 9.8448389999999993e-03 -2.4374620000000000e-02 2.9790199999999999e-02 -3.0217330000000000e-03 -1.1645910000000000e-01
1.1110099999999999e+01 6.5732449999999998e-02 2.4422780000000000e+02 3.3661209999999997e-02 9.4090450000000003e-01 4.0401959999999998e-01 1.0000990000000001e+00 9.9566319999999997e-01 3.9676689999999998e-01 5.0710250000000001e-01 9.3302729999999997e+01 8.2164429999999999e+00 2.5010120000000000e-02 9.8368520000000001e-03 -2.4385990000000000e-02 2.9234540000000000e-02 -2.6709199999999998e-03 -1.1517289999999999e-01
